City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,pelotas,-31.7719,-52.3425,18.01,77,75,3.6,BR,1700957860
84,posto fiscal rolim de moura,-13.0833,-62.2667,23.44,96,93,1.36,BR,1700957861
85,wailua homesteads,22.0669,-159.378,26.44,80,75,4.63,US,1700957861
86,alghero,40.5589,8.3181,3.05,75,0,0.51,IT,1700957862
87,walcourt,50.2539,4.4352,4.83,97,100,5.14,BE,1700957863
88,ust-nera,64.5667,143.2,-30.48,99,99,2.61,RU,1700957864
89,lerwick,60.1545,-1.1494,5.0,75,100,3.52,GB,1700957864
90,gobabis,-22.45,18.9667,22.01,65,98,3.0,NA,1700957865
91,san antonio de pale,-1.4014,5.6325,26.52,85,26,4.38,GQ,1700957866
92,iqaluit,63.7506,-68.5145,-12.15,78,75,6.71,CA,1700957867
93,gamba,-2.65,10.0,25.48,89,100,2.29,GA,1700957867
94,vernon,50.2581,-119.2691,2.64,72,70,0.51,CA,1700957868
95,ojinaga,29.5667,-104.4167,22.53,33,0,0.0,MX,1700957869
96,lorengau,-2.0226,147.2712,29.6,69,35,2.03,PG,1700957870
97,namibe,-15.1961,12.1522,23.78,83,98,3.44,AO,1700957871
98,ola,59.5833,151.2833,-16.59,74,100,7.61,RU,1700957871
99,grande prairie,55.1667,-118.8027,1.1,86,40,2.57,CA,1700957872
100,belyy yar,53.6039,91.3903,-3.06,59,0,3.0,RU,1700957873
101,east london,-33.0153,27.9116,20.73,92,100,4.0,ZA,1700957874
102,carnarvon,-24.8667,113.6333,22.74,68,12,3.54,AU,1700957874
103,isafjordur,66.0755,-23.124,3.94,97,100,2.73,IS,1700957875
104,ribeira grande,38.5167,-28.7,20.43,96,100,6.26,PT,1700957876
105,hithadhoo,-0.6,73.0833,27.11,79,45,1.7,MV,1700957877
106,grand falls-windsor,48.9332,-55.6649,-5.28,77,23,0.45,CA,1700957878
107,ubari,26.5921,12.7805,13.25,51,0,3.17,LY,1700957878
108,pingxiang,27.6167,113.85,10.17,81,73,1.15,CN,1700957879
109,bereznik,62.8551,42.7072,-12.74,95,100,1.21,RU,1700957880
110,yokadouma,3.5167,15.05,22.07,90,100,0.73,CM,1700957881
111,vadso,70.0744,29.7487,-0.91,86,100,4.12,NO,1700957881
112,robore,-18.3333,-59.75,24.51,77,52,0.73,BO,1700957883
113,tambura,5.6,27.4667,21.03,93,100,2.62,SS,1700957883
114,hamilton,39.1834,-84.5333,5.95,69,0,2.06,US,1700957443
115,barcelos,41.5388,-8.6151,11.06,88,83,0.99,PT,1700957885
116,puerto natales,-51.7236,-72.4875,5.92,88,55,8.41,CL,1700957788
117,remire-montjoly,4.9167,-52.2667,26.02,83,75,3.09,GF,1700957887
118,usogorsk,63.4106,48.6872,-18.67,100,94,1.25,RU,1700957888
119,faridpur,23.6,89.8333,19.54,67,0,1.73,BD,1700957889
120,hasaki,35.7333,140.8333,9.05,81,100,6.14,JP,1700957890
